id,MRM,CRM,VAR,VEV,HistoricalVEV,SRI,InvestmentAmount,InvestmentCurrency,EquivalentAmount,ScalingFactor,Pricing_Method,CarriedInterest_IHP1,CarriedInterest_IHP2,CarriedInterest_RHP,EntryCostAcquired_IHP1,EntryCostAcquired_IHP2,EntryCostAcquired_RHP,Entry_IHP1,Entry_IHP2,Entry_RHP,ExitCostAt1Year_IHP1,ExitCostAt1Year_IHP2,ExitCostAt1Year_RHP,ExitCostAtHalfRHP_IHP1,ExitCostAtHalfRHP_IHP2,ExitCostAtHalfRHP_RHP,ExitCostAtRHP_IHP1,ExitCostAtRHP_IHP2,ExitCostAtRHP_RHP,Exit_IHP1,Exit_IHP2,Exit_RHP,Other_IHP1,Other_IHP2,Other_RHP,PerformanceFees_IHP1,PerformanceFees_IHP2,PerformanceFees_RHP,Transaction_IHP1,Transaction_IHP2,Transaction_RHP,TotalCostsIHP1,TotalCostsIHP2,TotalCostsRHP,IHP1Date,IHP1Offset,IHP2Date,IHP2Offset,RHPDate,RHPOffset,RiskEngineOuput_PSFavourable_ScenarioIHP1,RiskEngineOuput_PSFavourable_ScenarioIHP2,RiskEngineOuput_PSFavourable_ScenarioRHP,RiskEngineOuput_PSModerate_ScenarioIHP1,RiskEngineOuput_PSModerate_ScenarioIHP2,RiskEngineOuput_PSModerate_ScenarioRHP,RiskEngineOuput_PSUnfavourable_ScenarioIHP1,RiskEngineOuput_PSUnfavourable_ScenarioIHP2,RiskEngineOuput_PSUnfavourable_ScenarioRHP,RiskEngineOuput_PSStressed_ScenarioIHP1,RiskEngineOuput_PSStressed_ScenarioIHP2,RiskEngineOuput_PSStressed_ScenarioRHP,NetPerformanceAmount_Favourable_ScenarioIHP1,NetPerformanceAmount_Favourable_ScenarioIHP2,NetPerformanceAmount_Favourable_ScenarioRHP,NetPerformanceAmount_Moderate_ScenarioIHP1,NetPerformanceAmount_Moderate_ScenarioIHP2,NetPerformanceAmount_Moderate_ScenarioRHP,NetPerformanceAmount_Unfavourable_ScenarioIHP1,NetPerformanceAmount_Unfavourable_ScenarioIHP2,NetPerformanceAmount_Unfavourable_ScenarioRHP,NetPerformanceAmount_Stressed_ScenarioIHP1,NetPerformanceAmount_Stressed_ScenarioIHP2,NetPerformanceAmount_Stressed_ScenarioRHP,NetPerformanceReturn_Favourable_ScenarioIHP1,NetPerformanceReturn_Favourable_ScenarioIHP2,NetPerformanceReturn_Favourable_ScenarioRHP,NetPerformanceReturn_Moderate_ScenarioIHP1,NetPerformanceReturn_Moderate_ScenarioIHP2,NetPerformanceReturn_Moderate_ScenarioRHP,NetPerformanceReturn_Unfavourable_ScenarioIHP1,NetPerformanceReturn_Unfavourable_ScenarioIHP2,NetPerformanceReturn_Unfavourable_ScenarioRHP,NetPerformanceReturn_Stressed_ScenarioIHP1,NetPerformanceReturn_Stressed_ScenarioIHP2,NetPerformanceReturn_Stressed_ScenarioRHP,RIYCarriedInterest,RIYEntryCostAcquired,RIYEntry,RIYExitCostAt1Year,RIYExitCostAtHalfRHP,RIYExitCostAtRHP,RIYExit,RIYOther,RIYPerformanceFees,RIYTransaction,RIYIHP1,RIYIHP2,RIYRHP,CF_Moment_M0,CF_Moment_M1,CF_Moment_M2,CF_Moment_M3,CF_Moment_M4,CF_Stats_Skew ,CF_Stats_Volatility,CF_Stats_Kurtosis,Stressed_Volatility_IHP1,Stressed_Volatility_IHP2,Stressed_Volatility_RHP,Stressed_Z_Alpha_IHP1,Stressed_Z_Alpha_IHP2,Stressed_Z_Alpha_RHP
FX-Option-Deliverable-European-EUR-USD-Short-Call-11,7,1,0,0,0,7,312.26004159448075,EUR,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.0,,,-0.0,,,-0.0,,,-557.0747104784934,,,-3011.1783420345364,,,209.40383310294197,,,209.40383310294197,,,-342.155286182695,,,-2771.960861980757,,,0.020940383310294197,,,0.020940383310294197,,,-0.0342155286182695,,,-0.2771960861980757,,,0.009964092621730217,,,,,,,,,,0.009964092621730217,,,,,,,,,,,,,,
FX-Option-Deliverable-European-EUR-USD-Long-Put-12,7,1,0,0,0,7,310.1096631473019,EUR,10000.0,24.383721961723765,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2438.372196172377,,,,,,1.0,,,1719.517068794603,,,511.2265935883434,,,0.0,,,0.0,,,41928.226113925826,,,12465.607117497317,,,0.0,,,0.0,,,3.1928226113925833,,,0.2465607117497317,,,-1.0,,,-1.0,,,0.4019741594306969,,,,,,,,,,0.4019741594306969,,,,,,,,,,,,,,
FX-Option-Deliverable-European-EUR-USD-Short-Put-13,7,1,0,0,0,7,310.1096631473019,EUR,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.0,,,-0.0,,,-511.2265935883434,,,-1719.5170687946024,,,-5393.092526591073,,,207.28239052675755,,,-298.8825536201171,,,-1495.209756794631,,,-5132.413180355492,,,0.020728239052675755,,,-0.02988825536201171,,,-0.1495209756794631,,,-0.5132413180355492,,,0.009964092621730217,,,,,,,,,,0.009964092621730217,,,,,,,,,,,,,,
FX-Option-Deliverable-European-USD-INR-Long-Call-14,7,1,0,0,0,7,278.6497599200148,USD,10000.0,26.409629843981364,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640.9629843981365,,,,,,1.0,,,753.1011511544817,,,0.0,,,0.0,,,0.0,,,19889.12263706612,,,0.0,,,0.0,,,0.0,,,0.9889122637066121,,,-1.0,,,-1.0,,,-1.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,
FX-Option-Deliverable-European-USD-INR-Short-Call-15,7,1,0,0,0,7,278.6497599200148,USD,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.0,,,-0.0,,,-0.0,,,-753.1011511544812,,,-4240.896345518076,,,180.66371947305805,,,180.66371947305805,,,-564.9809846402896,,,-4018.2435533171156,,,0.018066371947305804,,,0.018066371947305804,,,-0.056498098464028965,,,-0.40182435533171157,,,0.01021385960717128,,,,,,,,,,0.01021385960717128,,,,,,,,,,,,,,
FX-Option-Deliverable-European-USD-INR-Long-Put-16,7,1,0,0,0,7,259.1647814445331,USD,10000.0,27.84237351942128,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2784.237351942128,,,,,,1.0,,,1050.1678456213515,,,118.81170318660756,,,0.0,,,0.0,,,29239.165415875614,,,3307.9998186001435,,,0.0,,,0.0,,,1.9239165415875608,,,-0.6692000181399858,,,-1.0,,,-1.0,,,0.1276407928639844,,,,,,,,,,0.1276407928639844,,,,,,,,,,,,,,
FX-Option-Deliverable-European-USD-INR-Short-Put-17,7,1,0,0,0,7,259.1647814445331,USD,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.0,,,-0.0,,,-118.81170318660756,,,-1050.1678456213508,,,-9759.74683646102,,,160.959082384214,,,43.32373269450357,,,-878.8110617953413,,,-9502.156597280162,,,0.0160959082384214,,,0.004332373269450357,,,-0.08788110617953412,,,-0.9502156597280161,,,0.010213859607171288,,,,,,,,,,0.010213859607171288,,,,,,,,,,,,,,
FX-Option-Deliverable-European-XAU-USD-Long-Call-18,7,1,0,0,0,7,442.9649900858779,USD,10000.0,18.417393722601435,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1841.7393722601437,,,,,,1.0,,,1357.5420004913838,,,0.0,,,0.0,,,0.0,,,25002.385518017807,,,0.0,,,0.0,,,0.0,,,1.5002385518017807,,,-1.0,,,-1.0,,,-1.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,
FX-Option-Deliverable-European-XAU-USD-Short-Call-19,7,1,0,0,0,7,442.9649900858779,USD,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.0,,,-0.0,,,-0.0,,,-1357.5420004913838,,,-11592.59847271692,,,346.83131276356914,,,346.83131276356914,,,-997.2696778219595,,,-11130.988957253183,,,0.034683131276356916,,,0.034683131276356916,,,-0.09972696778219595,,,-1.1130988957253183,,,0.010213859607171284,,,,,,,,,,0.010213859607171284,,,,,,,,,,,,,,
FX-Option-Deliverable-European-XAU-USD-Long-Put-20,7,1,0,0,0,7,441.3220595396051,USD,10000.0,18.473291128214893,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847.3291128214894,,,,,,1.0,,,2296.8708973197326,,,617.762331806934,,,0.0,,,0.0,,,42430.76477011159,,,11412.103403514377,,,0.0,,,0.0,,,3.2430764770111598,,,0.14121034035143776,,,-1.0,,,-1.0,,,0.2585890090202987,,,,,,,,,,0.2585890090202987,,,,,,,,,,,,,,
FX-Option-Deliverable-European-XAU-USD-Short-Put-21,7,1,0,0,0,7,441.3220595396051,USD,10000.0,0.9900990099009901,Bootstrap VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00990099009901,,,,,,1.0,,,-0.0,,,-617.762331806934,,,-2296.870897319732,,,-6141.726349629507,,,345.1698610859489,,,-266.47601199022336,,,-1928.9597402207166,,,-5735.747316765049,,,0.03451698610859489,,,-0.026647601199022337,,,-0.19289597402207168,,,-0.5735747316765049,,,0.010213859607171284,,,,,,,,,,0.010213859607171284,,,,,,,,,,,,,,
